Rezept-ID;Rezeptname;Bild;Zubereitung;Zutat 1;Menge 1;Zutat 2;Menge 2;Zutat 3;Menge 3;Zutat 4;Menge 4;Zutat 5;Menge 5;Zutat 6;Menge 6;Zutat 7;Menge 7;Zutat 8;Menge 8;Zutat 9;Menge 9;Zutat 10;Menge 10;Zutat 11;Menge 11;Zutat 12;Menge 12;Zutat 13;Menge 13;Zutat 14;Menge 14;Zutat 15;Menge 15;Zutat 16;Menge 16;Zutat 17;Menge 17;Zutat 18;Menge 18;Zutat 19;Menge 19;Zutat 20;Menge 20;ganzes Rezept;Inhalt;Rezept-Beschreibung;Zubereitungszeit;Schwierigkeitsgrad;Hauptkategorie;Unterkategorie 1;tags;Tipps;Link, Quelle
1;Avocadoaufstrich;;"1. Die Avocados halbieren und mit einem Löffel das Fruchtfleisch aus den Schalenhälften schälen und den Kern entfernen.
2. Anschließend das Fruchtfleisch mit einer Gabel zerdrücken und die zerdrückte Avocado in eine Schüssel geben.
3. Zitronensaft über das Avocadomus träufeln.
4. Hüttenkäse dazuschütten und gut verrühren.
5. Zum Schluss mit Salz und Pfeffer würzen.";reife Avocados;2;Zitrone;1;Hüttenkäse;200 g;Salz;1 TL;Pfeffer;1 Prise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Laktose,Halal;;10;einfach;Frühstück,Mittagessen;Aufstriche,Vegetarisch;Frühstück,Mittagessen,Aufstriche,Vegetarisch,Laktose,Halal;Passt sehr gut zu warmen Pellkartoffeln oder Ofenkartoffeln. Als Dip oder Aufstrich verwendbar.;"""Das Kita-Kinder-Kochbuch"", S.22/23"
2;Erdbeeraufstrich;;"1. Erdbeeren gründlich abwaschen und diese von den Stielen befreien.
2. Anschließend Erdbeeren in ganz kleine Stücke schneiden und in eine Schüssel geben.
3. Zucker, Agavendicksaft oder Honig zusammen mit dem Zitronensaft unter die Erdbeeren rühren und eine Viertelstunde lang stehen lassen.
3. Zum Schluss das Öl dazugeben.";Erdbeeren;600 g;Zitronensaft;2 TL;Zucker, Agavendicksaft oder Honig;100 g;neutrales Speise-/Olivenöl;1-2 EL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;einfach;Frühstück;Aufstriche;Frühstück,Aufstriche,Halal,Obst;Falls was übrig bleiben sollte, können Sie den Fruchtaufstrich mit dem Pürierstab mixen und daraus eine kalt gerührte Marmelade machen.;"""Das Kita-Kinder-Kochbuch"", S.24/25"
3;Erdnussbutter;;"1. Erdnüsse knacken, schälen und in diese in der Pfanne bei mittlerer Hitze rösten.
2. In eine schmale, hohe Rührschüssel schütten und pürieren. Vorsichtig nach und nach das Öl hinzugeben.
3. Anschließend Zucker und eine kleine Prise Salz dazugeben.";frische Erdnüsse;500 g;Erdnuss-/Speiseöl;4 EL;Salz;;Zucker;20 g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nüsse,Halal;;10;einfach;Frühstück;Aufstriche;Frühstück,Aufstriche,Nüsse,Halal;;"""Das Kita-Kinder-Kochbuch"", S.24/25"
4;Kräuteraufstrich;;"1. Kräuter waschen, klein schneiden oder hacken.
2. Diese dann nacheinander mit dem Frischkäse, dem Schmand und den Gewürzen in eine Schüssel geben und alles kräftig umrühren.";"frische Kräuter
(Schnittlauch, Petersilie, Rucola, Kresse, Frühlingszwiebeln)";2 Bund;Frischkäse mit Doppelrahmstufe;400 g;Jogurt;250 g;"Schmand/
Creme Fraiche";200 g;Salz;1 TL;Pfeffer;1 Prise;Paprikapulver;1 Prise;;;;;;;;;;;;;;;;;;;;;;;;;;;;Laktose,Halal;;5;einfach;Frühstück;Aufstriche;Frühstück,Aufstriche,Laktose,Halal,Kräuter;Variation: mit fein geschnittenen Gurken, Knoblauch und etwas Jogurt bekommt der Aufstrich eine Tsatsiki-Note und ist eine köstliche Variante für das kalte Buffet.;"""Das Kita-Kinder-Kochbuch"", S.27"
5;Kapitänslasagne;;"1. Zucchini u. Tomaten würfeln und in Öl anbraten.
2. Fischfilet würfeln und in der Gemüsebrühe garziehen lassen. Herausnehmen und abtropfen lassen. Die Brühe nicht wegschütten! Backofen auf 200 Grad vorheizen.
3. Für Johann eine Sauce aus Brühe und Tomaten ohne Milchprodukte herstellen und in separater Form Lasagne zubereiten.
4. Butter zerlassen, Mehl darin anschwitzen und die Gemüse-Fischbrühe zügig einrühren. Sahne, Milch unter Rühren zugeben. Kurz aufkochen lassen und mit Salz, Pfeffer abschmecken. 2 Eßl. gehackten Basilikum unterziehen. (Alternativ getrocknete ital. Kräuter)
5. Etwas Soße in die Auflaufformen verteilen und 1 Schicht Lasagne einlegen. Danach Fisch & Gemüse verteilen und mit Sauce begießen. Abwechselnd schichten.
6. Zum Schluß mit der restlichen Soße begießen (Die Nudeln müssen komplett bedeckt sein) und dem geriebenen Parmesan bestreuen.
7. Kapitänslasagne bei 200 Grad 35 Minuten überbacken und noch 10 Minuten bei ausgeschaltetem Backofen ruhen lassen.";Olivenöl;0.5 EL;Tomaten;0.2;Basilikum;0.25 Stiel;Zucchini;50 g;Gekörnte Brühe;50 ml;Sahne;25 ml;Lasagnenudeln;30 g;Milch;50 ml;Mehl;15 g;Butter;15 g;Gouda;15 g;Lachs;40 g;Pfeffer, Salz;;;;;;;;;;;;;;;;;Laktose,Gluten,Weizen,Halal;;60;mittel;Mittagessen;Fisch,Pasta & Co;Mittagessen,Pasta & Co,Fisch,Laktose,Gluten,Weizen,Halal,Herzhaft;;http://www.kita-rezepte.de/rezepte/kapitaenslasagne
6;Fischstäbchen-Burger mit Gurkenremoulade;;"1. Salatgurke waschen und 4 Scheiben von knapp 1 cm Dicke abschneiden. Zum Garnieren mit einem kleinen Ausstechförmchen aus den Gurkenscheiben Fische ausstechen (s. Tipp).
2. Reste der 4 Scheiben und Gewürzgurke in sehr feine Würfel schneiden. Petersilie waschen, trocken schütteln, Blätter von den Stielen zupfen und fein hacken. Salatcreme, Joghurt und Essig glatt rühren.
3. Gurkenwürfel und Petersilie unterrühren. Mit Salz, Pfeffer und 1 Prise Zucker kräftig abschmecken.
4. Salatblätter waschen und vorsichtig trocken tupfen. Rest ";Salatgurke;37.5 g;Gewürzgurke;15 g;glatte Petersilie;0.75 Stiele;Salatcreme;0.5 EL;Vollmillchjoghurt;1 EL;Obstessig;0.25 TL;Salatblätter;1;Lauchzwiebel;0.25;Öl;0.5 EL;Fischstäbchen;3;Vollkornbrot;1 Scheibe;Toastbrot;1 Scheibe;Tomatenketchup;1 TL;Cocktailspieß, Zahnstocher;1;;;;;;;;;;;;;;Laktose,Gluten,Weizen,Halal;;45;einfach;Mittagessen;Fisch;Mittagessen,Fisch,Laktose,Gluten,Weizen,Halal,Herzhaft;;https://www.lecker.de/fischstaebchen-burger-mit-gurkenremoulade-24594.html
7;Fisch-Nuggets;;"1. Das Filet in Streifen oder Würfel schneiden, mit Salz und Pfeffer würzen und im Mehl wenden. Ei in einem Teller mit 2 EL Wasser verquirlen. In einem weiteren Teller zerbröselte Cornflakes mit Haferflocken und Sesam mischen.
2. Die Fisch-Streifen durch das Ei ziehen und danach in der Cornflakes-Mischung wenden. In einer Pfanne im erhitzten Fett von beiden Seiten goldbraun braten. Alternativ im Backofen auf mittlerer Schiene bei 180 Grad Heißluft ca. 15 - 20 Minuten backen.";Fischfilet;beliebige Menge;Eier;0.25;Cornflakes;1.25 EL;Haferflocken;0.5 EL;Sesamkörner;0.25 EL;Salz, Pfeffer;;Butterschmalz;1 EL;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gluten,Weizen,Halal;;30;einfach;Mittagessen;Fisch;Mittagessen,Fisch,Gluten,Weizen,Halal,Herzhaft;;https://6f190cb6bcf7baa99edf86a25618b4821cd75825.plentymarkets-cloud-de.com/plenty/terra/order/order-search
8;knusprige Fischwürfel mit Pellkartoffeln und Quark;;"1. Kartoffeln gründlich waschen und in einen großen Topf legen und diese mit Wasser bedecken. Den Deckel auf den Topf legen und auf den Herd stellen. Den Herd auf die größte Stufe stellen und die Kartoffeln zum kochen bringen, bis diese weich sind.
2. Kräuter waschen und fein schneiden.
3. Den Quark in eine Schüssel schütten, mit dem Sauerrahm mischen und Kräuter dazugeben. Mit reichlich Salz, Pfeffer und Paprika würzen.
4. Anschließend den Fisch waschen, mit Küchenpapier trocknen und ihn auf ein großes Brett legen. Gräten vom Fisch entfernen.
5. Den Fisch in gleichmäßige Würfel schneiden und diese mit Zitrone beträufeln, mit etwas Kräutersalz würzen und in eine Schüssel legen.
6. Eier in einer Schüssel aufschlagen und mit dem Schneebesen verrühren.
7. Semmelbrösel bzw. das Paniermehl abwiegen und in eine weitere Schüssel geben. Das Mehl geben Sie in eine dritte Schüssel.
8. Nun nehmen Sie die Fischstücke nacheinander mit einer Gabel aus der Schüssel und wälzen diese erst im Mehl, dann im Ei und schließlich in den Semmelbröseln/Paniermehl. Die panierten Fischstücke auf einem Teller ablegen.
9. Anschließend erhitzen Sie je einen Teelöffel in zwei großen Pfannen und legen die Fischstücke vorsichtig hinein und braten diese bei mittlerer Hitze, bis sie goldbraun sind.";"kleine Biokartoffeln
(am besten Frühkartoffeln)";1500 g;;500 g;Sauerrahm;200 g;Kresse;1 Pck.;Petersilie;1 Bund;Schnittlauch;1 Bund;Salz, Pfeffer;;Seelachsfilet ohne Gräten;600-800 g;Zitrone;1;Kräutersalz;;Ei;1;Paniermehl/Semmelbrösel;400 g;Mehl;200 g;Speiseöl;;;;;;;;;;;;;;x;;;60;mittel;Mittagessen;Fisch;Mittagessen,Fisch,Laktose,Gluten,Weizen,Halal,Herzhaft;"Anstatt der Fischwürfel können auch Fleischwürfel aus Hühnerbrust oder feines Schweinefilet verwendet werden. Diese werden ebenfalls in kleine Stücken geschnitten, paniert und ausgebraten.
Anstatt der Zitrone legen Sie das Fleisch in etwas Balsamico-Essig mit einem Spritzer Olivenöl ein und geben etwas Thymian dazu.";"""Das Kita-Kinder-Kochbuch"", S.54-56"
9;Paniertes Seelachsfilet mit Senfsoße und Buttergemüse;;"1. Kartoffeln schälen, waschen und in kochendem Salzwasser ca. 25 Minuten garen. 50 ml Wasser in einen weiteren Topf geben, Gemüse darin zugedeckt bei starker Hitze aufkochen, anschließend bei mittlerer Hitze ca. 6 Minuten garen. Dabei mehrmals umrühren.
2. Für die Soße 30 g Butter in einem kleinen Topf erhitzen, mit Mehl bestäuben, anschwitzen und nach und nach unter Rühren 500 ml Milch zugießen, aufkochen, Senf unterrühren. Mit Salz, Pfeffer, Zucker und Zitronensaft abschmecken. Warm halten.
3. Fisch waschen, trocken tupfen und in vier gleichgroße Stücke schneiden. Mit Salz und Pfeffer würzen. Ei in einem tiefen Teller verquirlen. Fisch erst in Ei, dann in Paniermehl wenden. Butterschmalz in einer großen Pfanne erhitzen. Fisch darin bei mittlerer Hitze von jeder Seite 2–3 Minuten braten.
4. Inzwischen Petersilie waschen, trocken schütteln und fein hacken. 200 ml Milch und 50 g Butter in einem kleinen Topf erhitzen. Kartoffeln abgießen. Milchmischung zufügen und alles mit einem Kartoffelstampfer zerstampfen, mit Salz und Muskat abschmecken.
5. Kartoffelstampf, Gemüse, Fisch und etwas Soße auf Tellern anrichten, mit Petersilie bestreuen. Restliche Soße und Kartoffelstampf dazureichen.";Kartoffel;300 g;Buttergemüse;90 g;Butter;25 g;Mehl;10 g;mittelscharfer Senf;0.25 EL;Zucker;0.25 EL;Zitronensaft;0.25 EL;Seelachsfilet;150 g;Ei;0.5;Paniermehl;40 g;Butterschmalz;6 g;Petersilie;1 Stiel;Muskatnuss (gerieben), Salz;;;;;;;;;;;;;;;;;Laktose,Gluten,Weizen,Halal;;45;einfach;Mittagessen;Fisch;Mittagessen,Fisch,Laktose,Gluten,Weizen,Halal,Herzhaft;;https://www.lecker.de/paniertes-seelachsfilet-mit-senfsosse-und-buttergemuese-68005.html
10;Bauerntopf;;"1. Gemüse schneiden. Die Kartoffeln in kleine Würfel schneiden und beiseite stellen. Die Zwiebel klein schneiden und ebenfalls extra stellen. Dann die Möhren in Scheiben, die Paprika in Würfel und die Knoblauchzehen klein schneiden. Die Tomaten vierteln.
2. Anbraten und dünsten. Etwas Öl im Topf erhitzen und das Hackfleisch anbraten. Danach die Zwiebelstücke dazu geben und mit andünsten bis sie etwas glasig sind.  Anschließend die Möhren, Paprika dazugeben und kurz mit dünsten. Den Knoblauch dazu geben und ebenfalls kurz mit andünsten. 
Tomatenmark in die Mitte des Topfes geben und kurz mit anrösten. Dann gut mit dem Gemüse und Hackfleisch verrühren, damit alles gut ummantelt wird.
Jetzt noch die Tomaten dazu geben und erwärmen lassen.
3. Restliche Zutaten hinzufügen. Die Kartoffeln und die passierte Tomaten (oder Dose Tomaten) hineingeben. Brühe ebenfalls hinzufügen. Später gebe ich dann evtl. noch etwas mehr dazu. 
Zum Schluss noch würzen und das Ganze zwischen 20 und 40 Minuten köcheln lassen, bis Gemüse bissfest ist.
4. Würzen und abschmecken. Am Ende noch mal abschmecken und evtl nachwürzen. Creme Fraiche entweder direkt in den Eintopf rühren oder wie ich es immer mache, einen Klecks mit auf dem Teller.";"Hackfleisch
(gemischt)";100 g;"Kartoffeln
(geschält)";100 g;große rote Paprika;0.2;Karotten;0.4;Zwiebel;0.2;Knoblauchzehe;0.4;passierte Tomaten;100 ml;kleine Tomaten;2-3;Brühe;160 ml;Majoran;0.5 TL;Creme Fraiche oder Schmand;0.2 Becher;Salz, Pfeffer;;Paprika edelsüß oder rosenscharf;;Petersilie;;Öl;;;;;;;;;;;;;;;45;mittel;Mittagessen;Fleisch;Mittagessen,Fleisch,Herzhaft;;https://www.meinestube.de/bauerntopf-super-einfach/
